CO_ENTIDADE,NO_ENTIDADE,CO_MUNICIPIO,NO_MUNICIPIO,TP_LOCALIZACAO,TP_DEPENDENCIA,TP_LOCALIZACAO_DIFERENCIADA,IN_AGUA_INEXISTENTE,IN_ENERGIA_INEXISTENTE,IN_ESGOTO_INEXISTENTE,IN_BANHEIRO,IN_ALIMENTACAO,IN_AGUA_POTAVEL,IN_INTERNET,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_ACESSIBILIDADE_INEXISTENTE,QT_SALAS_UTILIZA_CLIMATIZADAS,3_CAT_FUN_AI
25033158,EMEIF MAE IAIA,2500106,Água Branca,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,14.0,0
25033204,ECI JOSE NOMINANDO,2500106,Água Branca,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,--
25033425,EMEF SEVERINO FIRMINO DE SANTANA,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25033476,EMEF ANDRE ALVES DO NASCIMENTO,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0
25033514,EMEF JOSE GOMES DE SALES,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0
25033549,EMEF AUGUSTO DOS ANJOS,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
25033557,EMEIF DELFINO JOSE DOS SANTOS,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0
25033573,EMEF FRANCISCO LOPES DA SILVA,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25033654,EMEF MANOEL GONCALVES DE MOURA,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25033670,EMEF ANTONIO VIRGOLINO BATISTA,2500106,Água Branca,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,--
25104969,EMEIF MARIA DE LOURDES GUILHERME,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0
25105515,EMEF JOAQUIM MINERVINO DE SOUSA,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
25178806,EMEF TIAGO DE OLIVEIRA LIMA,2500106,Água Branca,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25023489,ECI EEM AGENOR MENDES PEDROSA,2500205,Aguiar,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,--
25023535,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LIDIA CABRAL DE SOUSA,2500205,Aguiar,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,--
25023578,EMEF JOANA LACERDA LEITE,2500205,Aguiar,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0
25023705,EMEF AMELIA ARANTES LEITE,2500205,Aguiar,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0
25128930,EMEIEF ADVOGADO HORACIO RAMALHO,2500205,Aguiar,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,0
25062638,EEEFM PADRE HILDON BANDEIRA,2500304,Alagoa Grande,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,--
25062670,EEEF DEMONSTRACAO ALAGOA GRANDE,2500304,Alagoa Grande,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,--
25062727,EMEIF NOSSA SENHORA DE FATIMA,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3
25062751,EMEIF IVETE MEDEIROS CHAVES RIBEIRO,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
25062816,ECIT OSWALDO TRIGUEIRO DE ALBUQUERQUE MELO,2500304,Alagoa Grande,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,--
25062832,SISTEMA DINAMICO DE ENSINO - CANTINHO DO SABER,2500304,Alagoa Grande,1,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0
25062921,EMEIF JOAQUIM CLEMENTINO DA SILVA FREIRE,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8
25062930,EMEIF JOAQUIM JOSE PEREIRA DE MIRANDA HENRIQUE,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25062956,EMEIF JOSE ROCHA DE OLIVEIRA,2500304,Alagoa Grande,2,3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
25062980,EMEIF MANOEL CARLOS DA SILVA,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25062999,EMEIF NEMESIO REGIS,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25063014,EMEIF SANTA VITORIA,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
25063049,EMEIF SAO JOAO,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25063057,EMEIF SAO JOAO,2500304,Alagoa Grande,2,3,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25063065,EMEIF SEVERINO RAMALHO,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.9
25063073,EMEIF ALAYDE NOBREGA DE ALBUQUERQUE,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25063081,EMEIF ANNA ELISA SOBREIRA,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
25063111,EMEIF CANDIDO REGIS DE BRITO,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.5
25063120,EMEIF ENEAS CAVALCANTE,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3
25063146,EMEIF JOSE FERREIRA DE PAIVA,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.8
25063154,EMEIF PROFESSOR JOSUE GOMES DA SILVEIRA,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2
25063170,EMEIF NOSSA SENHORA DE FATIMA,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25063189,EMEIF PROFESSOR GERALDO COSTA,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.6
25063197,EMEIF SEVERINO JULIAO,2500304,Alagoa Grande,2,3,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25063235,EMEIF INSTITUTO DESEMBARGADOR SEVERINO MONTENEGRO,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,3
25112236,EMEIF MARIA MENINA,2500304,Alagoa Grande,2,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.3
25114158,EMEIF MARIA DA PENHA II,2500304,Alagoa Grande,2,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25116150,EMEIF MONSENHOR LUIGI PESCARMONA,2500304,Alagoa Grande,2,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
25117130,EMEIF FIRMO SANTINO DA SILVA,2500304,Alagoa Grande,2,3,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.3
25121243,ESCOLA DISNEY,2500304,Alagoa Grande,1,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
25121251,EXTERNATO DOM PEDRO II,2500304,Alagoa Grande,1,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,0
25123319,EMEF MANOEL BARBOSA DE LUCENA,2500304,Alagoa Grande,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
25135635,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E FUNDAMENTAL EDGAR ONOFRE NOBREGA,2500304,Alagoa Grande,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25153609,EMEF ARACY NOBREGA MONTENEGRO,2500304,Alagoa Grande,2,3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,--
25063251,COLEGIO 7 DE SETEMBRO LTDA,2500403,Alagoa Nova,1,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0
25063278,EMEIEF PROFESSORA MARIA MADALENA DA SILVA OLIVEIRA,2500403,Alagoa Nova,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0
25063286,EMEIEF GONCALO TAVARES ROMERO,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25063316,EMEIEF MANOEL MARTINS DE OLIVEIRA FILHO,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,0
25063340,ECIT MONSENHOR JOSE BORGES DE CARVALHO,2500403,Alagoa Nova,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,--
25063421,EEEFM PROFESSOR CARDOSO,2500403,Alagoa Nova,1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,--
25063510,EMEIEF SANTA LUZIA,2500403,Alagoa Nova,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0
25063537,EMEIEF JOAO XXIII,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0
25063545,EMEIEF PAULO ANTONIO GAIAO,2500403,Alagoa Nova,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0
25063570,EMEIEF DR JOAO TAVARES DE MELO CAVALCANTE FILHO,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0
25063596,EMEIEF PADRE ABDIAS LEAL,2500403,Alagoa Nova,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0
25063618,EMEIEF SAO GERALDO,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0
25063626,EMEIEF DR FERNANDO CUNHA LIMA,2500403,Alagoa Nova,1,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
25063634,EMEIEF NOSSA SENHORA APARECIDA,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
25063650,EMEIEF SANTA ANA,2500403,Alagoa Nova,2,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0
