ANO;PROCESSO ;CONVENENTE;SIAFI/SICONV;CONVÊNIO;OFÍCIO DA AECI;ENTREGUE NO TCU
2016;72031.000654/2012-29;Instituto Sul-Americano de Desenvolvimento Sustentável - ISDES;747124;1405/2010;Ofício n° 602/2016/AECI/MTur;24/05/2016
2016;72031.000499/2016-74;Município de Macarani;732163;0111/2010;Ofício n° 604/2016/AECI/MTur;24/05/2016
2016;72031.000498/2016-20;Sociedade Goiana de Pecuária e Agricultura - SGPA;707037;1180/2009;Ofício n° 603/2016/AECI/MTur;24/05/2016
2016;72031.000500/2016-61;Município de Lagoa dos Patos;739363;0963/2010;Ofício n° 601/2016/AECI/MTur;24/05/2016
2016; 72031.000313/2016-87                                                                                                                         ;Município de Bugre;704155;0720/2009;Ofício n° 529/2016/AECI/MTur;10/05/2016
2016;72031.000441/2016-21;Município de Auriflama;732966;0275/2010;Ofício n° 528/2016/AECI/MTur;10/05/2016
2016;72031.000307/2016-20;Município de Rolândia;706595;1164/2009;Ofício n° 527/2016/AECI/MTur;10/05/2016
2016;72031.011067/2010-01;Equipe Chakart;703505;306/2009;Ofício n° 526/2016/AECI/MTur;10/05/2016
2016;72031.000502/2015-79;Federação Brasileira de Convention & Visitors Bureaux - FBC&VB;"611030 (A)
559567 (B)611030 (A)
559567 (B)611030 (A)
559567 (B)611030 (A)
559567 (B)611030 (A)
559567 (B)611030 (A)
559567 (B)";"0611/2007 (A)
0120/2006 (B)0611/2007 (A)
0120/2006 (B)0611/2007 (A)
0120/2006 (B)0611/2007 (A)
0120/2006 (B)0611/2007 (A)
0120/2006 (B)0611/2007 (A)
0120/2006 (B)";Ofício n° 525/2016/AECI/MTur;10/05/2016
2016;72031.007354/2011-90;Associação Ruarte de Cultura;708669;1249/2009;Ofício n° 524/2016/AECI/MTur;10/05/2016
2016;72031.000358/2010-66;Município de São Pedro do Suaçuí;631701;841/2008;Ofício n° 523/2016/AECI/Mtur;10/05/2016
2016;72031.013810/2010-50;Município de Santana;700710;1326/2008;Ofício n° 522/2016/AECI/MTur;10/05/2016
2016;72031.012911/2010-11;Município de Atalaia;703680;0455/2009;Ofício n° 543/2016/AECI/MTur;10/05/2016
2016;72031.001444/2011-77;Município de Macarani;703722;0474/2009;Ofício n° 542/2016/AECI/MTur;10/05/2016
2016;72031.000113/2016-24;Instituto Educar e Crescer - IEC;702800;1661/2008;Ofício n° 541/2016/AECI/MTur;10/05/2016
2016;72031.000095/2016-81;Confederação Brasileira de Convention & Visitors Bureaux - CBC&VB;706590;1161/2009;Ofício n° 540/2016/AECI/MTur;10/05/2016
2016;72031.003249/2013-43;Instituto Educar e Crescer -IEC;705091;1084/2009;Ofício n° 539/2016/AECI/MTur;10/05/2016
2016;72031.000879/2015-28;Instituto Cia do Turismo;702734;1638/2008;Ofício n° 538/2016/AECI/MTur;10/05/2016
2016;72031.010662/2011-01;Município de Afrânio;735860;0485/2010;Ofício n° 537/2016/AECI/MTur;10/05/2016
2016;72031.004477/2015-01;Município de Manarí;730712;1519/2009;Ofício n° 536/2016/AECI/MTur;10/05/2016
2016;72031.004489/2015-27;Instituto Curitiba de Turismo & Eventos - CCVB;732393;0155/2010;Ofício n° 535/2016/AECI/MTur;10/05/2016
2016;72031.012117/2010-60;Município de Doutor Severiano;703630;0407/2009;Ofício n° 534/2016/AECI/MTur;10/05/2016
2016;72031.000196/2016-51;Município de Jales;703128;0105/2009;Ofício n° 530/2016/AECI/MTur;10/05/2016
2016;72031.002385/2009-30;Associação Os Independentes;593397;0319/2007;Ofício n° 533/2016/AECI/MTur;10/05/2016
2016;72031.012916/2010-36;Associação Os Independentes;703256;0174/2009;Ofício n° 532/2016/AECI/MTur;10/05/2016
2016;72031.006369/2013-01;Município de Poloni;701883;1478/2008;Ofício n° 531/2016/AECI/MTur;10/05/2016
2016;72031.006271/2014-26;Associação Os Independentes;633194;1168/2008;Ofício n° 292/2016/AECI/MTur;04/04/2016
2016;72031.000653/2012-84;Instituto Sul-Americano de Desenvolvimento  Sustentável-ISDES;744144;1336/2010;Ofício n° 290/2016/AECI/MTur;04/04/2016
2016;72031.004523/2015-63;Fundação Universa/DF;702306;1598/2008;Ofício n° 287/2016/AECI/MTur;04/04/2016
2016;72031.000909/2015-04;Instituto Educar e Crescer - IEC;736898;0660/2010;Ofício n° 288/2016/AECI/MTur;04/04/2016
2016;72031.003577/2015-10;Instituto Ideal;732164;0110/2010;Ofício n° 291/2016/AECI/MTur;04/04/2016
2016;72031.000306/2015-02 ;Associação Os Independentes ;704500;0857/2009;Ofício n° 293/2016/AECI/MTur;04/04/2016
2016;72031.004091/2015-91;Instituto Paidéia de Expressão e Comunicação ;738816;0846/2010;Ofício n° 289/2016/AECI/MTur;04/04/2016
2016;72031.003230/2015-69;Município de Quixeramobim;615657;1038/2007;Ofício n° 374/2016/AECI/MTur;04/04/2016
2016;00190.018597/2015-43;Município de Ubajara;614037;238.878-37/2007;Ofício n° 373/2016/AECI/MTur;04/04/2016
2016;72031.004409/2015-33;Liga de Amadores Brasileiros de Rádio e Emissão - LABRE;700147;1242/2008;Ofício n° 370/2016/AECI/MTur;04/04/2016
2016;72031.003579/2015-09;Federação Brasileira de Convention & Visitors Bureaux;628597;0677/2007;Ofício n° 369/2016/AECI/MTur;04/04/2016
2016;72031.003196/2012-80;Município de Solânea;703657;0432/2009;Ofício n° 372/2016/AECI/MTur;04/04/2016
2016;72031.004389/2011-77;Município de Buíque;563758;0135/2006;Ofício n° 368/2016/AECI/MTur;04/04/2016
2016;00190.026442/2015-81;Município de Buíque;516506;170.498-81/2004;Ofício n° 376/2016/AECI/MTur;04/04/2016
2016;00190.026284/2015-69;Município de São João;613851;227.456-03/2007;Ofício n° 375/2016/AECI/MTur;04/04/2016
2016;72031.004341/2015-92;Instituto Polo Internacional Iguassu - POLOIGUASSU;703573;0358/2009;Ofício n° 379/2016/AECI/MTur;04/04/2016
2016;72031.003617/2009-77;Município de Aquidabã;632903;0381/2008;Ofício n° 377/2016/AECI/MTur;04/04/2016
2016;72031.000662/2012-75;Instituto para Preservação do Meio Ambiente e Promoção do Desenvolvimento Sustentável-IATEC;754621;1567/2010;Ofício n° 371/2016/AECI/MTur;04/04/2016
2016;72031.003389/2015-83;Município de Álvares Florence;633562;0620/2008;Ofício n° 378/2016/AECI/MTur;04/04/2016
2016;72031.003229/2015-34;Município de Major Isidoro;721988;1604/2009;Ofício n° 184/2016/AECI/MTur;17/02/2016
2016;72031.003649/2015-11;Município de Capela;705319;1098/2009;Ofício n° 183/2016/AECI/MTur;17/02/2016
2016;72031.003667/2015-01;Município de Careiro;704664;0900/2009;Ofício n° 182/2016/AECI/MTur;17/02/2016
2016;72031.007274/2012-15;Município de Autazes;727171;1831/2009;Ofício n° 189/2016/AECI/MTur;17/02/2016
2016;72031.003817/2015-78;Empresa Estadual de Turismo - AMAZONASTUR;564417;0255/2006;Ofício n° 180/2016/AECI/MTur;17/02/2016
2016;72031.003354/2015-44;Sociedade Goiana de Pecuária e Agricultura - SGPA;734020;0368/2010;Ofício n° 187/2016/AECI/MTur;17/02/2016
2016;72031.003578/2015-56;Associação dos Criadores do Vale do Suaçuí;704147;0712/2009;Ofício n° 172/2016/AECI/MTur;17/02/2016
2016;72031.000304/2015-13;Município de Durandé;704085;0678/2009;Ofício n° 173/2016/AECI/MTur;17/02/2016
2016;72031.005624/2010-47;Município de Coroaci;624570;0103/2008;Ofício n° 190/2016/AECI/MTur;17/02/2016
2016;72031.008345/2012-05;Município de Solânea;739393;0988/2010;Ofício n° 178/2016/AECI/MTur;17/02/2016
2016;72031.006270/2014-81;Fundação Comissão de Turismo Integrado do Nordeste - CTI/NE;703785;0525/2009;Ofício n° 174/2016/AECI/MTur;17/02/2016
2016;72031.003724/2015-43;Município de Ibirajuba;625913;0127/2008;Ofício n° 188/2016/AECI/MTur;17/02/2016
2016;72031.003304/2015-67;Associação do Comércio, da Indústria e Agroindustrial de Garanhuns e Agreste Meridional - ACIAGAM;633651;1186/2008;Ofício n° 175/2016/AECI/MTur;17/02/2016
2016;00190.025136/2015-27;Município de Lagoa do Piauí;648411;281.732-71/2008;Ofício n° 186/2016/AECI/MTur;17/02/2016
2016;72031.003302/2015-78;Município de Borrazópolis;701075;1373/2008;Ofício n° 176/2016/AECI/MTur;17/02/2016
2016;72031.003350/2015-66;Município de Guaira;703214;0141/2009;Ofício n° 170/2016/AECI/MTur;17/02/2016
2016;72031.003403/2015-49;Instituto Maringá de Turismo e Eventos;703266;0179/2009;Ofício n° 181/2016/AECI/MTur;17/02/2016
2016;72031.000301/2015-71;Município de Ituporanga;700964;1354/2008;Ofício n° 171/2016/AECI/MTur;17/02/2016
2016;72031.003228/2015-90;Federação de Convention & Visitors Bureaux do Estado de São Paulo - FC&VB-SP;748694;1452/2010;Ofício n° 185/2016/AECI/MTur;17/02/2016
2016;72031.000297/2015-41;Instituto Quero-Quero;747278;1415/2010;Ofício n° 177/2016/AECI/MTur;17/02/2016
2016;72031.007893/2013-91;Município de Araguacema;733291;0322/2010;Ofício n° 179/2016/AECI/MTur;17/02/2016
2016;72031.013851/2010-46;Município de Granjeiro;703937;0615/2009;Ofício n° 146/2016/AECI/MTur;17/02/2016
2016;72031.003382/2015-61;Sociedade Goiana de Pecuária e Agricultura;625055;0116/2008;Ofício n° 192/2016/AECI/MTur;17/02/2016
2016;72031.006740/2012-45;Município de Amparo da Serra;739390;0990/2010;Ofício n° 193/2016/AECI/MTur;17/02/2016
2016;72031.009374/2013-67;Instituto Mundial de Desenvolvimento e da Cidadania - IMDC;596053;0550/2007;Ofício n° 194/2016/AECI/MTur;17/02/2016
2016;72031.003693/2015-21;Município de Araputanga;734260;0386/2010;Ofício n° 195/2016/AECI/MTur;17/02/2016
2016;72031.003390/2015-16;Município de Brejo dos Santos;736639;0584/2010;Ofício n° 196/2016/AECI/MTur;17/02/2016
2016;72031.003737/2015-12;Município de São João do Cariri;737556;0722/2010;Ofício n° 198/2016/AECI/MTur;17/02/2016
2016;00190.024971/2015-40;Município de Sertânia;713847;303.686-93/2009;Ofício n° 199/2016/AECI/MTur;17/02/2016
2016;72031.000661/2012-21;União Metropolitana dos Estudantes Secundários de Porto Alegre - UMESPA;744833;1335/2010;Ofício n° 197/2016/AECI/MTur;17/02/2016
2016;72031.000310/2015-62;Município de Salmourão;716157;1370/2009;Ofício n° 200/2016/AECI/MTur;17/02/2016
2016;72031.003282/2015-35;Município de Quixeramobim;625040;0087/2008;Ofício nº 14/2016/AECI/MTur;07/01/2016
2016;72031.003361/2015-46;Município de Quixeramobim;628578;0276/2008;Ofício nº 16/2016/AECI/MTur;07/01/2016
