Agente Financeiro;CPF/CNPJ do Contratante;Nome / Razão Social;UF;Município; Valor Contratado ;Data Início do Contrato;Data Fim do Contrato;Prazo (Meses);Carência (Meses);Spread Bancário;Fin. Taxa de Atualização Monetária;Finalidade do Financiamento;Atividade Turística;Porte da Empresa;CNAE;Descrição CNAE
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S. A.;59660990000137;REELS BUSINESS LTDA;RJ;RIO DE JANEIRO; R$ 1,00 ;11/02/2026;12/02/2031;60;12;0;INPC;BEM;NONE;PEQUENA_EMPRESA;NONE;NONE
AGENCIA DE FOMENTO DO AMAPA S/A;44690206000166;PEIXES & CRUSTACEOS LTDA;AP;MACAPÁ; R$ 350.000,00 ;24/01/2026;24/12/2035;120;24;5;INPC;CAPITAL GIRO;EMPREENDIMENTO DE APOIO AO TURISMO NÁUTICO OU À PESCA DESPORTIVA;PEQUENA_EMPRESA;311604;ATIVIDADES DE APOIO A PESCA EM ÁGUA SALGADA
AGENCIA DE FOMENTO DO AMAPA S/A;19750559000167;REALLIZA LTDA;AP;MACAPÁ; R$ 500.000,00 ;29/01/2026;29/05/2035;113;24;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;GRANDE_EMPRESA;1813001;IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO
AGENCIA DE FOMENTO DE GOIAS S/A;29961302000108;AGRO SERRA VERDE LTDA;GO;IPAMERI; R$ 1.571.900,17 ;28/01/2026;07/02/2046;240;;5;INPC;BEM CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;MICROEMPRESA;2869100;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL ESPECÍFICO NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS
CRESOL BRASIL - CRESOL CENTRAL BRASIL;44898331000166;USINAGEM ARAUJO LTDA;SC;ITAIÓPOLIS; R$ 100.000,00 ;13/01/2026;15/01/2032;69;3;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;MICROEMPRESA;2869100;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL ESPECÍFICO NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;18834396000138;FAM FORRO E ARTE MONTAGEM COMERCIO E SERVICOS;MG;UBERABA; R$ 54.014,00 ;23/01/2026;16/01/2030;48;;5;INPC;CAPITAL GIRO;PRESTADOR DE INFRAESTRUTURA DE APOIO PARA EVENTOS;PEQUENA_EMPRESA;4330402;INSTALAÇÃO DE PORTAS, JANELAS, TETOS, DIVISÓRIAS E ARMÁRIOS EMBUTIDOS DE QUALQUER MATERIAL
AGENCIA DE FOMENTO DE GOIAS S/A;15163094000197;LOPES CALCADOS LTDA;GO;GOIÂNIA; R$ 157.250,00 ;22/01/2026;05/02/2031;60;12;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;MICROEMPRESA;4789001;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
AGENCIA DE FOMENTO DE GOIAS S/A;61920737000117;SUPERNATZ SUPERMERCADO LTDA;GO;EDÉIA; R$ 203.000,00 ;19/01/2026;05/02/2031;60;12;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;PEQUENA_EMPRESA;4789001;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;16666198000187;N P MOREIRA PINTO;TO;PORTO NACIONAL; R$ 53.453,98 ;01/01/2026;01/06/2032;72;6;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;MICROEMPRESA;4789001;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
AGENCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;54983613000115;MPRC MILK SHAKE LTDA;TO;ARAGUAÍNA; R$ 52.083,33 ;22/01/2026;12/12/2028;30;6;5;INPC;CAPITAL GIRO;PRESTADOR ESPECIALIZADO EM SEGMENTOS TURÍSTICOS;PEQUENA_EMPRESA;4789001;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
